Topic,Text1,Text2,Similarity,Threshold,True Label,Predicted Label
8,日記を書く,日記をつける,0.8064804573853811,0.8900000000000001,True,False
8,日記を書く,日記を記す,0.8230644166469574,0.8900000000000001,True,False
8,日記を書く,日記を書く時間,0.7835009694099426,0.8900000000000001,True,False
8,日記を書く,日記,0.8990862866242727,0.8900000000000001,True,True
8,日記を書く,日記タイム,0.8418311576048533,0.8900000000000001,True,False
8,日記を書く,日記記入,0.8042316536108652,0.8900000000000001,True,False
8,日記を書く,日記,0.7790416379769644,0.8900000000000001,True,False
8,日記を書く,日記帳に書く,0.9739578564961752,0.8900000000000001,True,True
8,日記を書く,今日の日記,0.7929371992746989,0.8900000000000001,True,False
8,日記を書く,テレビを見る,0.6818481882413229,0.8900000000000001,False,False
8,日記を書く,お茶を飲む,0.5772266040245692,0.8900000000000001,False,False
8,日記を書く,仕事をする,0.6163841833670934,0.8900000000000001,False,False
8,日記を書く,入浴する,0.7108477453390757,0.8900000000000001,False,False
8,日記を書く,トレーニング,0.5486086755990982,0.8900000000000001,False,False
8,日記を書く,団らん,0.5484067350625992,0.8900000000000001,False,False
8,日記を書く,買い物,0.5241425236066183,0.8900000000000001,False,False
8,日記を書く,ゲーム,0.5972245633602142,0.8900000000000001,False,False
8,日記を書く,夜景を眺める,0.675362765789032,0.8900000000000001,False,False
8,日記を書く,読書,0.6200228482484818,0.8900000000000001,False,False
