Topic,Text1,Text2,Similarity,Threshold,True Label,Predicted Label
11,昼食をとる,ランチ,0.7571572860081991,0.9100000000000001,True,False
11,昼食をとる,ご飯を食べる,0.7642109791437784,0.9100000000000001,True,False
11,昼食をとる,ランチタイム,0.8119875689347585,0.9100000000000001,True,False
11,昼食をとる,お昼ご飯,0.8395312329133352,0.9100000000000001,True,False
11,昼食をとる,ランチを食べる,0.7925693591435751,0.9100000000000001,True,False
11,昼食をとる,昼食,0.8561768233776093,0.9100000000000001,True,False
11,昼食をとる,昼ごはん,0.765949159860611,0.9100000000000001,True,False
11,昼食をとる,昼食,0.8634626766045889,0.9100000000000001,True,False
11,昼食をとる,ご飯,0.7679273386796316,0.9100000000000001,True,False
11,昼食をとる,散歩をする,0.6678241789340973,0.9100000000000001,False,False
11,昼食をとる,コーヒーを飲む,0.5892328967650732,0.9100000000000001,False,False
11,昼食をとる,読書をする,0.5990713834762573,0.9100000000000001,False,False
11,昼食をとる,仕事をする,0.6273587197065353,0.9100000000000001,False,False
11,昼食をとる,トレーニングをする,0.6409263710180918,0.9100000000000001,False,False
11,昼食をとる,買い物をする,0.674663300315539,0.9100000000000001,False,False
11,昼食をとる,昼寝をする,0.6368920356035233,0.9100000000000001,False,False
11,昼食をとる,電話をする,0.5672973692417145,0.9100000000000001,False,False
11,昼食をとる,雑談をする,0.5881761064132055,0.9100000000000001,False,False
11,昼食をとる,会議をする,0.5840857525666555,0.9100000000000001,False,False
