Topic,Text1,Text2,Similarity,Threshold,True Label,Predicted Label
12,ストレッチをする,ストレッチ,0.8066006104151408,0.8600000000000001,True,False
12,ストレッチをする,柔軟体操,0.7943761746088663,0.8600000000000001,True,False
12,ストレッチをする,ストレッチ運動,0.8781912724177042,0.8600000000000001,True,True
12,ストレッチをする,ストレッチ,0.798801193634669,0.8600000000000001,True,False
12,ストレッチをする,軽いストレッチ,0.9021843274434408,0.8600000000000001,True,True
12,ストレッチをする,ストレッチング,0.7808195849259695,0.8600000000000001,True,False
12,ストレッチをする,ストレッチタイム,0.83566748102506,0.8600000000000001,True,False
12,ストレッチをする,全身ストレッチ,0.8670643071333567,0.8600000000000001,True,True
12,ストレッチをする,ストレッチをすること,0.8936608533064524,0.8600000000000001,True,True
12,ストレッチをする,テレビを見る,0.6069136510292689,0.8600000000000001,False,False
12,ストレッチをする,夜食を食べる,0.5643510520458221,0.8600000000000001,False,False
12,ストレッチをする,入浴する,0.7157928297917048,0.8600000000000001,False,False
12,ストレッチをする,読書をする,0.6014388302961985,0.8600000000000001,False,False
12,ストレッチをする,星を眺める,0.6448551019032797,0.8600000000000001,False,False
12,ストレッチをする,スマホを見る,0.6212015151977539,0.8600000000000001,False,False
12,ストレッチをする,ゲームをする,0.6514018128315607,0.8600000000000001,False,False
12,ストレッチをする,会話をする,0.5559337735176086,0.8600000000000001,False,False
12,ストレッチをする,鍵をかける,0.5585698982079824,0.8600000000000001,False,False
12,ストレッチをする,用を足す,0.5663967132568359,0.8600000000000001,False,False
