Topic,Text1,Text2,Similarity,Threshold,True Label,Predicted Label
6,夕食を作る,晩ごはんを作る,0.7465081314245859,0.81,True,False
6,夕食を作る,夕飯の調理,0.8199826578299204,0.81,True,True
6,夕食を作る,夕食の支度,0.8171284298102061,0.81,True,True
6,夕食を作る,料理を作る,0.8115072647730509,0.81,True,True
6,夕食を作る,夕飯の用意,0.7746080358823141,0.81,True,False
6,夕食を作る,夕食作り,0.9067403773466746,0.81,True,True
6,夕食を作る,晩御飯の支度,0.8483401338259379,0.81,True,True
6,夕食を作る,夕飯を作る時間,0.8170165419578552,0.81,True,True
6,夕食を作る,晩ご飯,0.7621211806933085,0.81,True,False
6,夕食を作る,食事をする,0.6123757561047872,0.81,,False
6,夕食を作る,飲み会,0.5504582275946935,0.81,False,False
6,夕食を作る,トレーニング,0.5377221554517746,0.81,False,False
6,夕食を作る,読書,0.5339595278104147,0.81,False,False
6,夕食を作る,散歩,0.5832925836245219,0.81,False,False
6,夕食を作る,テレビ鑑賞,0.5888650466998419,0.81,False,False
6,夕食を作る,買い物,0.5702046006917953,0.81,False,False
6,夕食を作る,コーヒーブレイク,0.5290924410025278,0.81,False,False
6,夕食を作る,入浴,0.6009465356667837,0.81,False,False
6,夕食を作る,仕事,0.593345065911611,0.81,False,False
